"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Vehicle.Year"
"6504",1355013355,"GCV3904","NY","999","06/25/2013",74,"SDN","DODGE","P",17,17,17,939211,"0017","0000","0359P","","NY","F","441","3 AVE","BBBBBBB","ALL","ALL","BK",2012
"6505",1355885504,"62701JD","NY","COM","06/25/2013",14,"DELV","MERCU","P",18,18,18,932351,"0018","0000","0943A","","NY","F","601","5TH AVE","BBBBBBB","ALL","ALL","RED",1993
"6506",1355885530,"62994JM","NY","COM","06/25/2013",47,"DELV","GMC","P",18,18,18,932351,"0018","0000","1024A","","NY","O","309","W 55TH ST","BBBBBBB","ALL","ALL","BROWN",1987
"6507",1355885541,"90935JX","NY","COM","06/25/2013",47,"DELV","MITSU","P",18,18,18,932351,"0018","0000","1144A","","NY","F","334","W 47TH STREET","BBBBBBB","ALL","ALL","WHITE",2007
"6508",1355893975,"50757JZ","NY","COM","06/25/2013",14,"TRLR","GMC","P",18,18,18,906065,"0018","0000","0235P","","NY","F","16","E 52 ST","BBBBBBB","ALL","ALL","WH",0
"6509",1355893987,"XV1915","NJ","PAS","06/25/2013",46,"TRLR","FORD","P",13,13,18,906065,"0018","0000","0225P","","NY","F","58","W 58 ST","BBBBBBB","ALL","ALL","WH",0
"6511",1355904985,"56234MD","NY","OMT","06/25/2013",31,"VAN","FORD","P",18,18,18,907552,"0018","0000","0930A","","NY","O","14","EAST 51 ST","BBBBBBB","ALL","ALL","GREY",2008
"6512",1355820339,"61767MD","NY","COM","06/25/2013",16,"VAN","FORD","P",9,9,9,920073,"0009","0000","0128A","","NY","F","18","ST MARK PL","BBBBBBB","ALL","ALL","BK",2006
"6513",1355821848,"62543JM","NY","COM","06/25/2013",20,"","INTER","P",9,9,9,904116,"0009","0000","0945A","","NY","F","10","ASTOR PLACE","YYYYYBB","0800A","0600P","BK",1998
"6514",1355828119,"97036JE","NY","COM","06/25/2013",20,"VAN","GMC","P",9,9,9,948061,"0009","0000","0412P","","NY","O","234","E 10 ST","YYYYYBB","0700A","0600P","BRWN",1996
"6515",1355828120,"46502JS","NY","COM","06/25/2013",20,"SDN","TOYOT","P",9,9,9,947984,"0009","0000","0413P","","NY","F","51","GREAT JONES","YYYYYBB","0800A","0600P","WH",2003
"6516",1355828168,"41593JU","NY","COM","06/25/2013",20,"VAN","FORD","P",9,9,1,948001,"0001","0000","0459P","","NY","","","N/S E 8 ST","YYYYYBB","0800A","0600P","WHITE",1996
"6517",1355829288,"93495JT","NY","COM","06/25/2013",46,"VAN","","P",9,9,9,949406,"0009","0000","0744P","","NY","F","4","GREAT JONES","BBBBBBB","ALL","ALL","BROWN",0
"6518",1355829290,"97028JE","99","COM","06/25/2013",46,"VAN","INTER","P",9,9,9,949406,"0009","0000","0733P","","NY","F","144","E 7TH ST","BBBBBBB","ALL","ALL","BROWN",1997
"6519",1355829306,"40646CB","MD","PAS","06/25/2013",20,"SDN","VOLVO","P",9,9,9,949406,"0009","0000","0549P","","NY","F","26","BOND ST","YYYYYBB","0800A","0600P","GRAY",0
"6520",1355829318,"XW4948","NJ","PAS","06/25/2013",20,"VAN","FORD","P",9,9,9,949406,"0009","0000","0546P","","NY","F","1","BOND ST","YYYYYBB","0800A","0600P","BLUE",0
"6521",1355829320,"41593JM","NY","COM","06/25/2013",20,"VAN","FORD","P",9,9,9,949406,"0009","0000","0543P","","NY","F","666","BOND ST","YYYYYBB","0800A","0600P","WHITE",1992
"6522",1355624630,"49770JG","NY","COM","06/25/2013",20,"DELV","MERCU","P",7,7,7,925748,"0007","0000","0516P","","NY","F","62","ORCHARD","YYYYYYB","0700A","0700P","BL",1997
"6523",1355624642,"49784JG","NY","COM","06/25/2013",20,"DELV","GMC","P",7,7,7,925798,"0007","0000","0520P","","NY","F","118","ORCHARD ST","YYYYYYB","0700A","0700P","BR",1987
"6524",1355830679,"GGM8891","NY","PAS","06/25/2013",20,"SDN","BMW","P",9,9,9,906258,"0009","0000","0807A","","NY","F","379","E 10 ST","YYYYYBB","0800A","0600P","BLK",2013
"6525",1355830680,"H50DCA","NJ","PAS","06/25/2013",16,"SDN","FORD","P",9,9,9,906258,"0009","0000","0810A","","NY","F","402","E 10 ST","YYYYYBB","0800A","0600P","GREY",0
"6526",1355830692,"GFM8523","NY","OMS","06/25/2013",14,"SDN","NISSA","P",9,9,9,906258,"0009","0000","0834A","","NY","F","610-12","E 5 ST","BBBBBBB","ALL","ALL","WHT",2013
"6527",1355830710,"45313MD","NY","COM","06/25/2013",46,"DELV","ISUZU","P",9,9,9,906258,"0009","0000","0931A","","NY","F","173","AVC C","BBBBBBB","ALL","ALL","WHT",2010
"6528",1355830758,"J64CRX","NJ","PAS","06/25/2013",20,"SUBN","SUBAR","P",9,9,9,906258,"0009","0000","1017A","","NY","O","246","E 4 ST","YYYYYBB","0700A","0400P","BROWN",0
"6529",1355830760,"602ZNJ","CT","PAS","06/25/2013",20,"SDN","DODGE","P",9,9,9,906258,"0009","0000","1018A","","NY","O","246","E 4 ST","YYYYYBB","0700A","0400P","BLK",0
"6530",1355830771,"GEX5090","NY","PAS","06/25/2013",40,"SDN","CHEVR","P",9,9,9,906258,"0009","0000","1025A","","NY","F","254","E 2 ST","BBBBBBB","ALL","ALL","GREY",2002
"6531",1355830783,"XT101C","NJ","PAS","06/25/2013",46,"VAN","FORD","P",9,9,9,906258,"0009","0000","1058A","","NY","F","111","AVE C","BBBBBBB","ALL","ALL","WHT",0
"6532",1355830813,"54357JM","NY","COM","06/25/2013",20,"VAN","GMC","P",9,9,9,906258,"0009","0000","1259P","","NY","F","84","AVE C","YYYYYYB","0700A","0700P","WHT",0
"6533",1355830825,"57822JU","NY","COM","06/25/2013",20,"VAN","CHEVR","P",9,9,9,906258,"0009","0000","0103P","","NY","F","709","FDR DR","BYYBBBB","ALL","ALL","WHT",2005
"6534",1355830837,"49761JG","NY","COM","06/25/2013",14,"DELV","GMC","P",9,9,9,906258,"0009","0000","0112P","","NY","O","59","1ST AVE","BBBBBBB","ALL","ALL","BROWN",1989
"6535",1355830849,"47457MC","NY","COM","06/25/2013",46,"VAN","MERCU","P",9,9,9,906258,"0009","0000","0118P","","NY","F","215","AVE A","BBBBBBB","ALL","ALL","WHT",2013
"6536",1355830850,"744AC","99","PAS","06/25/2013",20,"SUBN","FORD","P",9,9,9,906258,"0009","0000","0151P","","NY","F","418","E 11 ST","BBBBBBB","ALL","ALL","WHT",0
"6537",1355830904,"49783JG","NY","COM","06/25/2013",20,"DELV","FORD","P",9,9,9,949344,"0009","0000","0508P","","NY","F","81","ST MARKS PLACE","BBBBBBB","ALL","ALL","BROWN",1986
"6538",1355831477,"49761JG","NY","COM","06/25/2013",20,"DELV","GMC","P",9,9,9,936042,"0009","0000","0626P","","NY","F","117","EAST 7TH ST","BBBBBBB","ALL","ALL","BROWN",1989
"6539",1355831490,"97036JE","NY","COM","06/25/2013",46,"DELV","GMC","P",9,9,9,936042,"0009","0000","0646P","","NY","O","157","2ND AVE","BBBBBBB","ALL","ALL","BROWN",1990
"6540",1355927973,"66344MA","NY","COM","06/25/2013",38,"REFG","ISUZU","P",18,18,18,933001,"0018","0000","1030A","","NY","F","51","W 51ST ST","BBBBBBB","ALL","ALL","WHITE",2011
"6541",1355928618,"XR475J","NJ","PAS","06/25/2013",14,"VAN","FRUEH","P",18,18,18,922640,"0018","0000","0910A","","NY","F","48","W 48","BBBBBBB","ALL","ALL","BK",0
"6542",1355928620,"62990JM","NY","COM","06/25/2013",14,"DELV","GMC","P",18,18,18,922640,"0018","0000","0912A","","NY","F","48","W 48","BBBBBBB","ALL","ALL","BN",1986
"6543",1355928631,"98981MC","NY","COM","06/25/2013",17,"VAN","DODGE","P",18,18,18,922640,"0018","0000","0916A","","NY","F","6","W 48","BBBBBBB","ALL","ALL","WH",2005
"6544",1355636565,"49770JG","NY","COM","06/25/2013",20,"VAN","INTER","P",7,7,7,886228,"0007","0000","0515P","","NY","O","63","ORCHARD ST","YYYYYBB","0700A","0700P","BN",1997
"6545",1355636577,"49784JG","NY","COM","06/25/2013",20,"DELV","GMC","P",7,7,7,886225,"0007","0000","0520P","","NY","O","117","ORCHARD ST","YYYYYBB","0700A","0700P","BN",1987
"6546",1355636589,"49784JG","NY","COM","06/25/2013",20,"DELV","GMC","P",7,7,7,886228,"0007","0000","0535P","","NY","O","145","DRCHARD ST","YYYYYBB","0700A","0700P","BN",1987
"6547",1355636590,"49763JG","NY","COM","06/25/2013",14,"VAN","INTER","P",7,7,7,886228,"0007","0000","0530P","","NY","F","106","RIVINGTON ST","BBBBBBB","1000A","0700P","BN",2002
"6548",1355636607,"91654MC","NY","COM","06/25/2013",9,"VAN","WORK","P",7,7,7,886228,"0007","0000","0545P","","NY","F","453","FDR DRIVE","BBBBBBB","ALL","ALL","BN",2012
"6549",1355636620,"77939JY","NY","COM","06/25/2013",53,"VAN","WORK","P",7,7,7,886228,"0007","0000","0700P","","NY","O","410","GRAND ST","BBBBBBB","ALL","ALL","BN",2008
"6550",1355636632,"49797JG","NY","COM","06/25/2013",53,"DELV","GMC","P",7,7,7,886228,"0007","0000","0740P","","NY","O","460","GRAND ST","BBBBBBB","ALL","ALL","BN",1997
"6551",1355636644,"49757JG","NY","COM","06/25/2013",14,"DELV","GMC","P",7,7,7,886228,"0007","0000","0730P","","NY","F","143","DIVISION ST","BBBBBBB","ALL","ALL","BN",1990
"6552",1357205569,"59819JS","NY","COM","06/25/2013",45,"VAN","WORK","P",13,13,13,901431,"0013","0000","1156A","","NY","F","351","3 AVE","BBBBBBB","ALL","ALL","WH",2004
"6553",1357205570,"59819JS","NY","COM","06/25/2013",9,"VAN","WORK","P",13,13,13,901431,"0013","0000","1158A","","NY","F","351","3 AVE","BBBBBBB","ALL","ALL","WH",2004
"6554",1357205594,"49759JG","NY","COM","06/25/2013",45,"VAN","GMC","P",13,13,13,901431,"0013","0000","0340P","","NY","F","230","E 15 ST","BBBBBBB","ALL","ALL","BRN",1989
"6555",1357205600,"49759JG","NY","COM","06/25/2013",9,"VAN","GMC","P",13,13,13,901431,"0013","0000","0341P","","NY","F","230","E 15 ST","BBBBBBB","ALL","ALL","BRN",1989
"6556",1357205636,"97028JE","NY","COM","06/25/2013",45,"VAN","MERCU","P",13,13,13,901431,"0013","0000","0348P","","NY","O","310","E 18 ST","BBBBBBB","ALL","ALL","BRN",1997
"6557",1357205648,"97028JE","NY","COM","06/25/2013",9,"VAN","MERCU","P",13,13,13,901431,"0013","0000","0349P","","NY","O","310","E 18 ST","BBBBBBB","ALL","ALL","BRN",1997
"6558",1357205673,"63527JM","NY","COM","06/25/2013",48,"VAN","GMC","P",13,13,13,901431,"0013","0000","0446P","","NY","F","380","2 AVE","BBBBBBB","ALL","ALL","BRN",1990
"6559",1357205685,"63527JM","NY","COM","06/25/2013",9,"VAN","GMC","P",13,13,13,901431,"0013","0000","0447P","","NY","F","380","2 AVE","BBBBBBB","ALL","ALL","BRN",1990
"6560",1357202507,"41999JM","NY","COM","06/25/2013",45,"VAN","MAZDA","P",13,13,13,901431,"0013","0000","0932A","","NY","F","220","E 23 ST","BBBBBBB","ALL","ALL","WH",1995
"6561",1357202519,"41999JM","NY","COM","06/25/2013",9,"VAN","MAZDA","P",13,13,13,901431,"0013","0000","0933A","","NY","F","220","E 23 ST","BBBBBBB","ALL","ALL","WH",1995
"6562",1357202520,"97028JE","NY","COM","06/25/2013",45,"VAN","MERCU","P",13,13,13,901431,"0013","0000","0947A","","NY","F","318","2 AVE","BBBBBBB","ALL","ALL","BRN",1997
"6563",1357202532,"97028JE","NY","COM","06/25/2013",9,"VAN","MERCU","P",13,13,13,901431,"0013","0000","0948A","","NY","F","318","2 AVE","BBBBBBB","ALL","ALL","BRN",1997
"6564",1357202544,"42298JM","NY","COM","06/25/2013",45,"VAN","GMC","P",13,13,13,901431,"0013","0000","1041A","","NY","F","237","E 28 ST","BBBBBBB","ALL","ALL","WH",1995
"6566",1314985504,"FRX9129","NY","PAS","06/25/2013",40,"SDN","ME/BE","P",6,6,136,940296,"0136","0000","0725A","","NY","O","180","CHISTOPHER ST","BBBBBBB","ALL","ALL","BLK",2011
"6567",1335815211,"AD03778","AZ","PAS","06/25/2013",14,"VAN","GMC","P",10,10,136,920677,"0136","0000","1118P","","NY","O","555","W 23 ST","BBBBBBB","1100P","0600A","WH",0
"6568",1335815790,"14545MA","NY","COM","06/25/2013",78,"VAN","","P",7,7,136,948360,"0136","0000","0234A","","NY","F","159","ESSEX ST","BBBBBBB","ALL","ALL","WHITE",2004
"6569",1335818169,"24902JZ","NY","COM","06/25/2013",20,"VAN","CHEVR","P",6,6,136,948139,"0136","0000","1123A","","NY","F","29","WASHINGTON SQ W","YYYYYBB","0800A","0600P","WHITE",2009
"6571",1335820474,"FXB7277","NY","PAS","06/25/2013",16,"SDN","NISSA","P",10,10,136,927784,"0136","0000","1027P","","NY","F","635","W 42 ST","BBBBBBB","ALL","ALL","GREY",2012
"6573",1335820498,"F34CUL","NJ","PAS","06/25/2013",20,"","BMW","P",6,6,136,927784,"0136","0000","1119P","","NY","F","77","MCDOUGAL ST","BBBBBBB","ALL","ALL","BLK",0
"6574",1335821650,"31197AV","NY","COM","06/25/2013",78,"VAN","FORD","P",10,10,136,947114,"0136","0000","1142P","","NY","F","549","W 26 ST","BBBBBBB","ALL","ALL","WHITE",2010
"6576",1347710711,"EJR4375","NY","PAS","06/25/2013",14,"SDN","VOLKS","P",1,1,574,946218,"0574","0000","0423P","","NY","F","110","WASHINGTON ST","BBBBBBB","ALL","ALL","BLACK",2008
"6577",1298149575,"12402JG","NY","COM","06/25/2013",45,"DELV","MERCU","P",10,10,136,903326,"0136","0000","0834A","","NY","F","761","6 AVE","BBBBBBB","ALL","ALL","WH",2004
"6579",1351455473,"14883MB","NY","COM","06/25/2013",45,"VAN","INTER","P",5,5,5,899630,"0005","0000","1025A","","NY","O","9","CHATHAM SUQUARE","BBBBBBB","ALL","ALL","WH",2011
"6582",1351455527,"BN02299","PA","PAS","06/25/2013",19,"BUS","MCI","P",5,5,5,899650,"0005","0000","1116A","","NY","F","11","ALLEN ST","BBBBBBB","ALL","ALL","WH",0
"6583",1351455552,"12030JY","NY","COM","06/25/2013",14,"VAN","CHRYS","P",6,6,6,899650,"0006","0000","0117P","","NY","O","10","CATHERINE SLIP","BBBBBBB","ALL","ALL","WH",2007
"6584",1351455564,"FYW5560","NY","PAS","06/25/2013",26,"SUBN","INTER","P",5,5,5,899680,"0005","0000","0120P","","NY","O","10","CATHERINE SLIP","BBBBBBB","ALL","ALL","GOLD",2003
"6585",1351455576,"DPR2255","NY","PAS","06/25/2013",26,"SDN","LEXUS","P",5,5,5,899650,"0005","0000","0125P","","NY","O","10","CATHERINE SLIP","BBBBBBB","ALL","ALL","BLK",1996
"6586",1351455588,"ETX775X","NY","PAS","06/25/2013",26,"SUBN","MAZDA","P",5,5,5,899680,"0005","0000","0120P","","NY","O","10","CATHERINE SLIP","BBBBBBB","ALL","ALL","BK",2007
"6587",1351455590,"15526LV","NY","OML","06/25/2013",46,"BUS","DODGE","P",5,5,5,899950,"0005","0000","0215P","","NY","O","11","MRKET SLIP","BBBBBBB","ALL","ALL","WH",2007
"6588",1353192477,"BLANKPLATE","99","999","06/25/2013",74,"MCY","","T",18,18,108,330015,"T108","0000","1118A","","NY","F","527","W 47 TH ST","BBBBBBB","ALL","ALL","GOLD",2008
"6589",1351258000,"AL298B","NJ","PAS","06/25/2013",49,"DELV","MERCU","P",18,18,18,904590,"0018","0000","0850A","","NY","O","900","7 AVE","BBBBBBB","ALL","ALL","",0
"6590",1351258011,"22085JS","NY","COM","06/25/2013",47,"VAN","FRUEH","P",18,18,18,904597,"0018","0000","0900A","","NY","O","770","7 AVE","YYYYYYB","0700A","0700","",0
"6591",1351258126,"20618MA","NY","COM","06/25/2013",14,"DELV","MERCU","P",18,18,18,904597,"0018","0000","1050A","","NY","F","50","W 58 ST","YYYYYYB","0800A","0700P","",0
"6592",1351258151,"30649MA","NY","COM","06/25/2013",14,"VAN","FORD","P",18,18,18,904597,"0018","0000","1105A","","NY","F","32","W 47 ST","YYYYYBB","0700A","0200P","",0
"6593",1351260650,"13710PC","NY","999","06/25/2013",46,"DELV","HINO","P",18,18,18,938551,"0018","0000","0303P","","NY","F","921","8 AVE","BBBBBBB","ALL","ALL","RED",2013
"6594",1351260662,"13710PC","NY","999","06/25/2013",45,"DELV","HINO","P",18,18,18,938551,"0018","0000","0303P","","NY","F","921","8 AVE","BBBBBBB","ALL","ALL","RED",2013
"6595",1349789380,"EMB8109","NY","PAS","06/25/2013",20,"SDN","VOLKS","P",9,9,9,944460,"0009","0000","0637A","","NY","F","9","EAST 7TH ST","BBBBBBB","ALL","ALL","WHITE",2009
"6596",1349790795,"EVD3918","NY","PAS","06/25/2013",20,"SUBN","CHEVR","P",9,9,9,945977,"0009","0000","0422A","0421A","NY","F","709","FDR DRIVE","BBBBBBB","ALL","ALL","BLACK",2002
"6597",1349790801,"FGP9770","NY","PAS","06/25/2013",20,"SDN","HONDA","P",9,9,9,945977,"0009","0000","0428A","0427A","NY","","","REAR OF 484 E HOUSTO","BBBBBBB","ALL","ALL","SILVE",2009
"6598",1349818537,"13230MD","NY","COM","06/25/2013",14,"VAN","FORD","P",9,9,9,950139,"0009","0000","1201A","1201A","NY","F","612","E 5TH ST","BBBBBBB","ALL","ALL","WH",0
"6599",1349819086,"31587TR","NY","COM","06/25/2013",46,"DELV","MERCU","P",9,9,9,934547,"0009","0000","0159P","","NY","F","214","AVE A","BBBBBBB","ALL","ALL","WHITE",2006
"6605",1351417058,"18715LV","NY","999","06/25/2013",20,"BUS","DODGE","P",5,5,5,949139,"0005","0000","0431P","","NY","O","10","CATHERINE","BBBBBBB","ALL","ALL","WHITE",2008
"6606",1351417060,"21977BB","NY","999","06/25/2013",20,"BUS","DODGE","P",5,5,5,949139,"0005","0000","0431P","","NY","O","20","CATHERINE","BBBBBBB","ALL","ALL","WHITE",2007
"6607",1351418920,"10808BB","NY","999","06/25/2013",20,"","","P",5,5,5,949635,"0005","0000","0430P","","NY","O","78","CATHERINE ST","BBBBBBB","ALL","ALL","WHITE",0
"6608",1355827516,"11411MC","NY","COM","06/25/2013",78,"P-U","FORD","P",9,9,9,949412,"0009","0000","0428A","","NY","F","304","MULBERRY STREET","BBBBBBB","ALL","ALL","WHITE",2006
"6609",1355828132,"ETG3466","NY","PAS","06/25/2013",20,"SDN","AUDI","P",9,9,9,947984,"0009","0000","0415A","","NY","F","51","GREAT JONES","YYYYYBY","0800A","0600P","BLUE",2009
"6610",1355828144,"18043JW","99","COM","06/25/2013",20,"VAN","FRUEH","P",9,9,9,948061,"0009","0000","0420P","","NY","F","55","GREAT JONES","YYYYYBB","0800A","0600P","WHITE",2007
"6611",1355828156,"12097MB","NY","PAS","06/25/2013",20,"P-U","FORD","P",9,9,9,947984,"0009","0000","0421A","","NY","F","47","GREAT JONES","YYYYYBB","0800A","0600P","BLUE",1998
"6612",1355830709,"AP729N","NJ","PAS","06/25/2013",14,"TRAC","MACK","P",9,9,9,906258,"0009","0000","0852A","","NY","F","69","2ND AVE","YYYYYBB","0700A","1000A","WHT",0
"6613",1355830722,"17668PC","NY","999","06/25/2013",19,"DELV","PETER","P",9,9,9,906258,"0009","0000","0936A","","NY","F","71","AVE D","BBBBBBB","ALL","ALL","GREEN",2001
"6614",1355830734,"AM721L","NJ","PAS","06/25/2013",19,"TRAC","MERCU","P",9,9,9,906258,"0009","0000","0937A","","NY","F","69","AVE D","BBYBBBB","ALL","ALL","WHT",0
"6615",1355830746,"AP729N","NJ","PAS","06/25/2013",19,"TRAC","MACK","P",9,9,9,906258,"0009","0000","1007A","","NY","F","123","AVE C","BBBBBBB","ALL","ALL","WHT",0
"6616",1355830795,"017NVV","KY","PAS","06/25/2013",40,"SDN","MITSU","P",9,9,9,906258,"0009","0000","1117A","","NY","F","38","E 3 ST","BBBBBBB","ALL","ALL","GREY",0
"6617",1355830801,"31899MB","NY","COM","06/25/2013",46,"VAN","FRUEH","P",9,9,9,906258,"0009","0000","1229P","","NY","F","157","AVE C","BBBBBBB","ALL","ALL","GREEN",2006
"6618",1355830862,"21681MD","NY","COM","06/25/2013",46,"DELV","FRUEH","P",9,9,9,906258,"0009","0000","0202P","","NY","F","159","AVE C","BBBYBBB","ALL","ALL","BK",0
"6619",1355830874,"18632JU","NY","COM","06/25/2013",20,"VAN","FORD","P",9,9,9,949344,"0009","0000","0454P","","NY","O","121","EAST 12TH","YYYYYBB","0800A","0600P","WHITE",0
"6620",1356481966,"EVM4593","NY","PAS","06/25/2013",40,"SDN","HONDA","P",33,33,137,938885,"0137","0000","0217A","","NY","F","709","W 169 ST","BBBBBBB","ALL","ALL","",0
"6621",1356481978,"11794JZ","NY","COM","06/25/2013",78,"VAN","CHEVR","P",32,32,137,938885,"0137","0000","0312A","","NY","O","750","W 155 ST","BBBBBBB","ALL","ALL","WHT",2003
"6622",1356481980,"FYT3280","NY","PAS","06/25/2013",40,"","MAZDA","P",32,32,137,938880,"0137","0000","0400A","","NY","F","2680","8TH AVE","BBBBBBB","ALL","ALL","",0
"6623",1355885516,"2125609","IN","PAS","06/25/2013",47,"TRAC","MERCU","P",18,18,18,932351,"0018","0000","0816A","","NY","F","4","COLUMBUS CIRCLE","BBBBBBB","ALL","ALL","WHITE",0
"6625",1355921089,"D93DBK","NJ","PAS","06/25/2013",16,"SUBN","HONDA","P",18,18,18,906639,"0018","0000","0133P","","NY","F","527","W 47TH STREET","YYYYYYB","0700A","0700P","BLACK",2013
"6626",1355922446,"29865JV","NY","COM","06/25/2013",45,"P-U","TOYOT","P",18,18,18,927204,"0018","0000","0229P","","NY","F","459","W 50 ST","BBBBBBB","ALL","ALL","WHITE",2006
"6627",1355928047,"2218JX","NY","COM","06/25/2013",37,"P-U","GMC","P",18,18,18,933001,"0018","0000","1038A","","NY","O","3","W 51ST ST","BBBBBBB","ALL","ALL","WHITE",2007
"6628",1355636619,"24923JZ","NY","COM","06/25/2013",53,"VAN","CHEVR","P",7,7,7,886228,"0007","0000","0600P","","NY","F","38","RUTGERS ST","BBBBBBB","ALL","ALL","WH",2009
"6629",1357205612,"30519JT","NY","COM","06/25/2013",45,"VAN","FORD","P",13,13,13,901431,"0013","0000","0345P","","NY","F","211","E 18 ST","BBBBBBB","ALL","ALL","WH",2005
"6630",1357205624,"30519JT","NY","COM","06/25/2013",9,"VAN","FORD","P",13,13,13,901431,"0013","0000","0346P","","NY","F","211","E 18 ST","BBBBBBB","ALL","ALL","WH",2005
"6631",1351256580,"34671KA","NY","COM","06/26/2013",40,"UTIL","FRUEH","X",18,18,18,925657,"0018","0000","1243P","","NY","F","888","8TH AVE","BBBBBBB","ALL","ALL","",0
"6632",1351256579,"34671KA","NY","COM","06/26/2013",14,"UTIL","FRUEH","X",18,18,18,925657,"0018","0000","1243P","","NY","F","888","8TH AVE","BBBBBBB","ALL","ALL","",0
"6633",1351256567,"42063MC","NY","COM","06/26/2013",14,"REFG","MITSU","X",18,18,18,925657,"0018","0000","1241P","","NY","F","858","8TH AVE","BBBBBBB","ALL","ALL","",0
"6634",1351256555,"60075MA","NY","COM","06/26/2013",20,"REFG","MERCU","X",18,18,18,925657,"0018","0000","1239P","","NY","F","840","8TH AVE","YYYYYBB","0700A","0400P","",0
"6635",1351256543,"62693JD","NY","COM","06/26/2013",14,"DELV","MERCU","X",18,18,18,925657,"0018","0000","1228P","","NY","O","228","W 47TH ST","BBBBBBB","ALL","ALL","",0
"6636",1351256520,"XP4785","NJ","PAS","06/26/2013",14,"DELV","ISUZU","X",18,18,18,925657,"0018","0000","1009A","","NY","O","243","W 47TH ST","BBBBBBB","ALL","ALL","",0
"6637",1351256490,"60349JR","NY","COM","06/26/2013",14,"VAN","MERCU","X",18,18,18,925657,"0018","0000","1002A","","NY","F","60","W 47TH ST","YYYYYBB","0700A","0200P","",0
"6638",1351256440,"63111JM","NY","COM","06/26/2013",14,"VAN","GMC","X",18,18,18,925657,"0018","0000","0957A","","NY","F","10","W 47TH ST","YYYYYBB","0700A","0200P","",0
"6639",1351256427,"58486JW","NY","COM","06/26/2013",45,"VAN","DODGE","X",18,18,18,925657,"0018","0000","0906A","","NY","F","836","9TH AVE","BBBBBBB","ALL","ALL","",0
"6640",1351256415,"XU522H","NJ","PAS","06/26/2013",46,"DELV","MITSU","X",18,18,18,925657,"0018","0000","0901A","","NY","F","30","W 60TH ST","BBBBBBB","ALL","ALL","",0
"6641",1351256403,"33347JB","NY","COM","06/26/2013",47,"UTIL","FORD","X",18,18,18,925657,"0018","0000","0857A","","NY","F","975","8TH AVE","YYYYYYB","0700A","0700P","",0
"6642",1351256397,"75482MC","NY","COM","06/26/2013",47,"VAN","ISUZU","X",18,18,18,925657,"0018","0000","0854A","","NY","F","941","8TH AVE","YYYYYYB","0700A","0700P","",0
"6643",1351256361,"45374MD","NY","COM","06/26/2013",47,"DELV","FRUEH","X",18,18,18,925657,"0018","0000","0847A","","NY","F","825","8TH AVE","YYYYYYB","0700A","0700P","",0
"6644",1351241000,"62994JM","NY","COM","06/26/2013",46,"DELV","GMC","X",18,18,18,945005,"0018","0000","0152P","","NY","F","435","W 54 ST","BBBBBBB","ALL","ALL","BROWN",1987
"6645",1351235990,"87592JN","NY","COM","06/26/2013",46,"VAN","MERCU","X",18,18,18,945005,"0018","0000","1156A","","NY","F","767","9TH AVE","BBBBBBB","ALL","ALL","TAN",2003
"6646",1351235989,"55052MB","NY","COM","06/26/2013",46,"VAN","FRUEH","P",18,18,18,945005,"0018","0000","1246P","","NY","F","430","W 49 ST","BBBBBBB","ALL","ALL","BROWN",2012
"6647",1351235965,"36895MA","NY","COM","06/26/2013",20,"TRLR","HINO","X",18,18,18,945005,"0018","0000","0810A","","NY","F","354","W 44 ST","YYYYYYB","0800A","0600P","WHITE",2012
"6648",1348389400,"49729JG","NY","COM","06/26/2013",14,"VAN","MERCU","P",18,18,420,926586,"0420","0000","1243P","","NY","F","1585","BROADWAY","YYYYYYY","ALL","ALL","BROWN",1997
"6649",1348389278,"6295JS","NY","COM","06/26/2013",14,"DELV","MERCU","P",18,18,420,926586,"0420","0000","0917A","","NY","F","215","W 43 ST","YYYYYYY","ALL","ALL","WHITE",2004
"6650",1348380299,"62693JD","NY","COM","06/26/2013",19,"DELV","","P",10,10,420,933475,"0420","0000","0930A","","NY","F","681","W 18 ST","BBBBBBB","ALL","ALL","RED",0
"6651",1347708789,"4N90A","NY","SRF","06/26/2013",46,"SDN","FORD","P",1,1,574,935874,"0574","0000","1144P","","NY","F","133","W BROADWAY","BBBBBBB","ALL","ALL","YELLO",2011
"6654",1335811199,"62673JM","NY","COM","06/26/2013",45,"DELV","GMC","P",6,6,136,920506,"0136","0000","1118A","","NY","F","355","6 AVE","BBBBBBB","ALL","ALL","BR",1988
"6655",1335811205,"49978JG","NY","COM","06/26/2013",14,"VAN","GMC","P",6,6,136,920506,"0136","0000","1143A","","NY","F","211","WAVERLY PL","YYYYYYY","ALL","ALL","BR",1989
"6656",1335816987,"89985MC","NY","COM","06/26/2013",78,"VAN","MITSU","P",6,6,136,946400,"0136","0000","1235A","","NY","F","141","BARROW STREET","BBBBBBB","ALL","ALL","WHITE",2013
